point_id,time_s,X_mm,Y_mm,Z_mm,A_rad,C_rad,material_id,channel_id
point-0000123,29.273263456,45.323943526,3.026987630,-6.987934561,-1.569349870,-1.377161750,ABS,T3
point-0000124,29.579918770,41.754764280,3.590137514,-9.834380626,-1.564882109,-1.311580246,ABS,T3
point-0000125,29.842971108,38.329021160,4.401277105,-11.616389725,-1.556796957,-1.266366851,ABS,T3
point-0000126,30.076696344,35.128757056,5.451015457,-12.589808129,-1.544956966,-1.238381258,ABS,T3
point-0000127,30.287487531,32.236255204,6.705947726,-12.826421875,-1.529986949,-1.228771524,ABS,T3
point-0000128,30.487249387,29.622847373,8.143489230,-12.539797217,-1.511746622,-1.233757515,ABS,T3
point-0000129,30.681885309,27.275637424,9.728697302,-11.831681535,-1.490807595,-1.252225507,ABS,T3
point-0000130,30.874808200,25.198405872,11.419818139,-10.736442367,-1.468084217,-1.285068077,ABS,T3
point-0000131,31.069501381,23.335461315,13.201851460,-9.364393688,-1.443425497,-1.329487321,ABS,T3
point-0000132,31.266886818,21.666898327,15.047774399,-7.759808545,-1.417524236,-1.385202654,ABS,T3
point-0000133,31.467252603,20.185453163,16.929468649,-5.943907189,-1.391395348,-1.453071212,ABS,T3
point-0000134,31.670617082,18.849035976,18.846539512,-3.983249524,-1.364797889,-1.530691063,ABS,T3
point-0000135,31.876113497,17.651705129,20.784009038,-1.906211865,-1.338692295,-1.618381764,ABS,T3
point-0000136,32.082864878,16.591251082,22.732821182,0.260686480,-1.314141202,-1.716787693,ABS,T3
point-0000137,32.290592633,15.642967555,24.706222058,2.477752540,-1.290223096,-1.823072667,ABS,T3
point-0000138,32.498178564,14.814682978,26.699227475,4.722202542,-1.267890788,-1.937762187,ABS,T3
point-0000139,32.705065478,14.113499179,28.710948409,6.978707361,-1.247750579,-2.061323377,ABS,T3
point-0000140,32.912261336,13.538417822,30.736458742,9.264722919,-1.228349847,-2.192285670,ABS,T3
point-0000141,33.119172588,13.101749304,32.763076316,11.574463549,-1.210727520,-2.332436304,ABS,T3
point-0000142,33.326002150,12.807320476,34.776608435,13.916290892,-1.195376829,-2.483465288,ABS,T3
point-0000143,33.532942002,12.647918644,36.761880563,16.297195904,-1.182755937,-2.647051764,ABS,T3
point-0000144,33.736849486,12.600707456,38.748933434,18.621954154,-1.176217964,-2.825403029,ABS,T3
point-0000145,34.861608263,52.000000000,2.000000000,2.500000000,-1.570796327,-2.356194490,,
point-0000146,35.285378082,48.787432778,2.106796441,-2.983949280,-1.570811018,-2.247586049,ABS,T3
point-0000147,35.646893401,45.225707278,2.434697736,-7.059803853,-1.569282503,-2.160968454,ABS,T3
